Date,Time,Home,Away,Field
4/9,8:30,,,Chaldecott Park
4/9,11:30,,,Chaldecott Park
4/9,2:30,Cubs,A's,Chaldecott Park
4/9,5:30,D'backs,Giants,Chaldecott Park
4/10,8:30,,,Chaldecott Park
4/10,11:30,Red Sox,Pirates,Chaldecott Park
4/10,2:30,Rockies,Yankees,Chaldecott Park
4/10,5:30,,,Chaldecott Park
4/11,5:30,9th team,Cubs,Chaldecott Park
4/12,5:30,A's,Yankees,Chaldecott Park
4/13,5:30,D'backs,Rockies,Chaldecott Park
4/14,5:30,Red Sox,Giants,Chaldecott Park
4/15,5:30,Pirates,9th team,Chaldecott Park
4/16,8:30,,,Chaldecott Park
4/16,2:30,Cubs,D'backs,Chaldecott Park
4/16,5:30,A's,Giants,Chaldecott Park
4/17,8:30,,,Chaldecott Park
4/17,11:30,Pirates,Yankees,Chaldecott Park
4/17,2:30,Red Sox,Rockies,Chaldecott Park
4/17,5:30,,,Chaldecott Park
4/18,5:30,9th team,D'backs,Chaldecott Park
4/19,5:30,Giants,Cubs,Chaldecott Park
4/20,5:30,Pirates,Rockies,Chaldecott Park
4/21,5:30,A's,9th team,Chaldecott Park
4/22,5:30,Yankees,Red Sox,Chaldecott Park
4/23,8:30,,,Chaldecott Park
4/23,2:30,Cubs,Pirates,Chaldecott Park
4/23,5:30,Rockies,A's,Chaldecott Park
4/24,8:30,,,Chaldecott Park
4/24,11:30,D'backs,Red Sox,Chaldecott Park
4/24,2:30,Giants,9th team,Chaldecott Park
4/24,5:30,,,Chaldecott Park
4/25,5:30,Yankees,Cubs,Chaldecott Park
4/26,5:30,D'backs,Pirates,Chaldecott Park
4/27,5:30,Yankees,9th team,Chaldecott Park
4/28,5:30,Red Sox,A's,Chaldecott Park
4/29,5:30,Rockies,Giants,Chaldecott Park
4/30,8:30,,,Chaldecott Park
4/30,2:30,Cubs,Red Sox,Chaldecott Park
4/30,5:30,A's,D'backs,Chaldecott Park
5/1,8:30,,,Chaldecott Park
5/1,11:30,Giants,Yankees,Chaldecott Park
5/1,2:30,9th team,Rockies,Chaldecott Park
5/1,5:30,,,Chaldecott Park
5/2,6:00,Pirates,A's,Chaldecott Park
5/4,6:00,Rockies,Cubs,Chaldecott Park
5/5,6:00,Yankees,D'backs,Chaldecott Park
5/6,6:00,Giants,Pirates,Chaldecott Park
5/7,9:00,,,Chaldecott Park
5/7,12:00,9th team,Red Sox,Chaldecott Park
5/7,3:00,A's,Cubs,Chaldecott Park
5/7,6:00,Yankees,Rockies,Chaldecott Park
5/8,9:00,,,Chaldecott Park
5/8,12:00,Giants,D'backs,Chaldecott Park
5/8,3:00,,,Chaldecott Park
5/8,6:00,,,Chaldecott Park
5/9,6:00,Pirates,Red Sox,Chaldecott Park
5/10,6:00,Cubs,9th team,Chaldecott Park
5/11,6:00,Yankees,A's,Chaldecott Park
5/12,6:00,Rockies,D'backs,Chaldecott Park
5/13,6:00,Giants,Red Sox,Chaldecott Park
5/14,9:00,,,Chaldecott Park
5/14,3:00,9th team,Pirates,Chaldecott Park
5/14,6:00,D'backs,Cubs,Chaldecott Park
5/15,9:00,,,Chaldecott Park
5/15,12:00,Giants,A's,Chaldecott Park
5/15,3:00,Rockies,Red Sox,Chaldecott Park
5/15,6:00,,,Chaldecott Park
5/16,6:00,Yankees,Pirates,Chaldecott Park
5/17,6:00,D'backs,9th team,Chaldecott Park
5/18,6:00,Cubs,Giants,Chaldecott Park
5/19,6:00,Rockies,Pirates,Chaldecott Park
5/20,6:00,9th team,A's,Chaldecott Park
5/21,9:00,,,Chaldecott Park
5/21,12:00,Red Sox,Yankees,Chaldecott Park
5/21,3:00,Pirates,Cubs,Chaldecott Park
5/21,6:00,,,Chaldecott Park
5/22,9:00,,,Chaldecott Park
5/22,12:00,A's,Rockies,Chaldecott Park
5/22,3:00,9th team,Giants,Chaldecott Park
5/22,6:00,,,Chaldecott Park
5/23,6:00,Red Sox,D'backs,Chaldecott Park
5/24,6:00,Cubs,Yankees,Chaldecott Park
5/25,6:00,Pirates,D'backs,Chaldecott Park
5/26,6:00,9th team,Yankees,Chaldecott Park
5/27,6:00,A's,Red Sox,Chaldecott Park
5/28,9:00,,,Chaldecott Park
5/28,12:00,Giants,Rockies,Chaldecott Park
5/28,3:00,,,Chaldecott Park
5/28,6:00,,,Chaldecott Park
5/29,9:00,,,Chaldecott Park
5/29,12:00,D'backs,A's,Chaldecott Park
5/29,3:00,Red Sox,Cubs,Chaldecott Park
5/29,6:00,,,Chaldecott Park
5/30,6:00,Rockies,9th team,Chaldecott Park
5/31,6:00,A's,Pirates,Chaldecott Park
6/1,6:00,D'backs,Yankees,Chaldecott Park
6/2,6:00,Pirates,Giants,Chaldecott Park
6/3,6:00,,,Chaldecott Park
6/4,9:00,,,Chaldecott Park
6/4,12:00,Red Sox,9th team,Chaldecott Park
6/4,3:00,Cubs,Rockies,Chaldecott Park
6/4,6:00,Yankees,Giants,Chaldecott Park
